,Unnamed: 0,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period,year
91,91,<_io.TextIOWrapper name='corpus/carter/carter_speeches_018.txt' mode='rt' encoding='cp1252'>,1360,60,23.61666666666667,1.7404411764705885,35.62275980392161,14.157705882352946,1,0,1,0,0,0,9.0,carter,10.0,1980
92,92,<_io.TextIOWrapper name='corpus/carter/carter_speeches_019.txt' mode='rt' encoding='cp1252'>,824,43,19.74418604651163,1.6492718446601942,47.266253104538286,11.57164032512983,1,0,1,0,0,0,9.0,carter,10.0,1980
93,93,<_io.TextIOWrapper name='corpus/carter/carter_speeches_020.txt' mode='rt' encoding='cp1252'>,4711,245,20.208163265306126,1.5372532371046488,56.272090426661,10.430771871304243,30,3,27,5,5,0,9.0,carter,10.0,1980
94,94,<_io.TextIOWrapper name='corpus/carter/carter_speeches_021.txt' mode='rt' encoding='cp1252'>,15339,885,18.2135593220339,1.545798291935589,57.57370179038477,9.753707980433171,108,25,83,11,28,1,9.0,carter,10.0,1980
95,95,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_000.txt' mode='rt' encoding='cp1252'>,1683,46,37.130434782608695,1.689245395127748,26.23744826784474,18.823965227724816,8,0,8,1,0,0,7.0,cleveland,5.0,1885
96,96,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_001.txt' mode='rt' encoding='cp1252'>,1730,34,51.235294117647065,1.682080924855491,12.5271302278137,24.240319619177146,8,0,8,0,2,0,7.0,cleveland,5.0,1886
97,97,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_002.txt' mode='rt' encoding='cp1252'>,19737,587,34.61839863713799,1.7044636976237524,27.49969656433552,18.023847100444094,98,14,84,6,23,1,7.0,cleveland,5.0,1885
98,98,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_003.txt' mode='rt' encoding='cp1252'>,824,25,33.36,1.6553398058252426,32.932852427184486,16.95340970873787,1,0,1,1,0,0,7.0,cleveland,5.0,1886
99,99,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_004.txt' mode='rt' encoding='cp1252'>,548,12,45.66666666666666,1.6697080291970805,19.22603406326036,21.92255474452555,0,0,0,0,0,0,7.0,cleveland,5.0,1886
100,100,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_005.txt' mode='rt' encoding='cp1252'>,369,12,30.91666666666667,1.8428184281842817,19.552144308943102,18.21275745257452,0,0,0,0,0,0,7.0,cleveland,5.0,1886
101,101,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_006.txt' mode='rt' encoding='cp1252'>,1169,27,43.5925925925926,1.7724550898203593,12.638817919716132,22.326081170991348,8,0,8,1,0,0,7.0,cleveland,5.0,1886
102,102,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_007.txt' mode='rt' encoding='cp1252'>,590,17,34.94117647058823,1.6830508474576271,28.98360418743769,17.89705882352941,0,0,0,0,0,0,7.0,cleveland,5.0,1887
103,103,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_008.txt' mode='rt' encoding='cp1252'>,4203,102,41.588235294117645,1.6038543897216273,28.936859806020923,19.554893563421086,25,0,25,0,1,0,7.0,cleveland,5.0,1887
104,104,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_009.txt' mode='rt' encoding='cp1252'>,5293,130,41.692307692307686,1.6508596259210278,24.85458333938877,20.150143585868125,36,0,36,4,1,0,7.0,cleveland,5.0,1887
105,105,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_010.txt' mode='rt' encoding='cp1252'>,15127,447,34.834451901566,1.7000727176571693,27.65187940611401,18.056294309965338,45,5,40,7,19,0,7.0,cleveland,5.0,1886
106,106,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_011.txt' mode='rt' encoding='cp1252'>,2079,49,42.734693877551024,1.7147667147667147,18.39002164502168,21.310777846492133,9,3,6,1,1,0,7.0,cleveland,5.0,1888
107,107,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_012.txt' mode='rt' encoding='cp1252'>,13200,397,34.241813602015114,1.7003787878787882,28.227513739409233,17.828777001755594,35,6,29,6,18,3,7.0,cleveland,5.0,1888
108,108,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_013.txt' mode='rt' encoding='cp1252'>,2019,59,34.728813559322035,1.716691431401684,26.353159140705714,18.21119617867547,8,0,8,1,1,2,7.0,cleveland,5.0,1893
