,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period
284,<_io.TextIOWrapper name='corpus/grant/grant_speeches_030.txt' mode='rt' encoding='cp1252'>,872,22,40.09090909090909,1.6020642201834863,30.60809424520437,18.949812343619687,2,0,2,0,0,0,8.0,grant,4.0
285,<_io.TextIOWrapper name='corpus/grant/grant_speeches_031.txt' mode='rt' encoding='cp1252'>,6787,203,34.41871921182266,1.6712833357890085,30.509429792249904,17.554443854921136,21,2,19,2,16,0,8.0,grant,4.0
286,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_000.txt' mode='rt' encoding='cp1252'>,1749,84,21.785714285714285,1.58147512864494,50.929704116638106,11.567835089438862,6,0,6,0,0,1,10.0,gwbush,11.0
287,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_001.txt' mode='rt' encoding='cp1252'>,1592,97,16.88659793814433,1.550251256281407,58.54384681137648,9.288738019996892,6,0,6,1,1,1,10.0,gwbush,11.0
288,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_002.txt' mode='rt' encoding='cp1252'>,1065,64,17.328125,1.6018779342723004,53.7280798855634,10.070128374413144,10,0,10,1,1,0,10.0,gwbush,11.0
289,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_003.txt' mode='rt' encoding='cp1252'>,923,66,14.651515151515152,1.657638136511376,51.727525772349736,9.684220919925146,2,0,2,0,4,0,10.0,gwbush,11.0
290,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_004.txt' mode='rt' encoding='cp1252'>,918,60,15.966666666666667,1.6122004357298474,54.236676470588264,9.660965141612202,2,1,1,0,3,0,10.0,gwbush,11.0
291,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_005.txt' mode='rt' encoding='cp1252'>,606,38,16.55263157894737,1.5742574257425743,56.85190072954663,9.441763939551851,0,0,0,0,0,1,10.0,gwbush,11.0
292,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_006.txt' mode='rt' encoding='cp1252'>,3090,217,14.972350230414747,1.5996763754045307,56.30544315690577,9.125397819635214,14,4,10,0,4,3,10.0,gwbush,11.0
293,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_007.txt' mode='rt' encoding='cp1252'>,2268,190,12.75263157894737,1.4603174603174602,70.34822180451131,6.615272347535505,18,2,16,0,1,1,10.0,gwbush,11.0
294,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_008.txt' mode='rt' encoding='cp1252'>,3839,217,18.382488479262673,1.5926022401667101,53.44262467544473,10.371876940879623,14,6,8,1,2,2,10.0,gwbush,11.0
295,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_009.txt' mode='rt' encoding='cp1252'>,2878,203,14.975369458128078,1.600416956219597,56.23972550382214,9.135314172061193,18,5,13,1,1,1,10.0,gwbush,11.0
296,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_010.txt' mode='rt' encoding='cp1252'>,1528,74,21.2972972972973,1.693062827225131,41.98512805999718,12.694087307202494,4,0,4,0,0,1,10.0,gwbush,11.0
297,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_011.txt' mode='rt' encoding='cp1252'>,2823,182,16.274725274725274,1.6928799149840594,47.09851303850246,10.73312585395476,22,0,22,0,2,1,10.0,gwbush,11.0
298,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_012.txt' mode='rt' encoding='cp1252'>,951,62,16.032258064516128,1.6456361724500526,51.341437875241695,10.081087480071911,4,2,2,0,3,0,10.0,gwbush,11.0
299,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_013.txt' mode='rt' encoding='cp1252'>,5389,309,18.171521035598705,1.6093894971237706,52.236554692196336,10.487689269943989,45,5,40,0,0,2,10.0,gwbush,11.0
300,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_014.txt' mode='rt' encoding='cp1252'>,1780,111,16.774774774774773,1.6196629213483147,52.78512045753621,10.064184634072276,9,1,8,0,0,1,10.0,gwbush,11.0
301,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_015.txt' mode='rt' encoding='cp1252'>,592,31,19.677419354838708,1.5135135135135136,58.81917611159548,9.94365300784656,5,2,3,0,0,1,10.0,gwbush,11.0
302,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_016.txt' mode='rt' encoding='cp1252'>,3633,215,17.688372093023254,1.6721717588769611,47.41557152459049,11.040091871027212,24,7,17,0,5,5,10.0,gwbush,11.0
303,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_017.txt' mode='rt' encoding='cp1252'>,2572,194,14.072164948453608,1.5544323483670295,61.046775905468905,8.240446040627859,23,3,20,0,0,0,10.0,gwbush,11.0
304,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_018.txt' mode='rt' encoding='cp1252'>,2403,138,18.159420289855074,1.655430711610487,48.35375020354991,11.026256310047227,11,4,7,2,3,1,10.0,gwbush,11.0
305,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_019.txt' mode='rt' encoding='cp1252'>,5182,282,19.117021276595743,1.5845233500578928,53.38054798935761,10.563013828555476,28,12,16,0,0,2,10.0,gwbush,11.0
306,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_020.txt' mode='rt' encoding='cp1252'>,2538,204,13.21078431372549,1.598896769109535,58.159387254901986,8.429187757845455,24,5,19,1,2,2,10.0,gwbush,11.0
307,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_021.txt' mode='rt' encoding='cp1252'>,2090,104,20.76923076923077,1.5688995215311006,53.02533124769968,11.02301435406699,9,4,5,0,0,2,10.0,gwbush,11.0
308,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_022.txt' mode='rt' encoding='cp1252'>,5289,383,14.587467362924283,1.5849877103422196,57.9387603316801,8.801967253578663,38,6,32,1,1,2,10.0,gwbush,11.0
309,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_023.txt' mode='rt' encoding='cp1252'>,5104,247,21.4331983805668,1.6140282131661443,48.5335168098689,11.814480283781556,36,19,17,1,4,1,10.0,gwbush,11.0
310,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_024.txt' mode='rt' encoding='cp1252'>,1155,75,16.133333333333333,1.6164502164502164,53.707978354978394,9.776112554112554,0,0,0,0,0,2,10.0,gwbush,11.0
311,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_025.txt' mode='rt' encoding='cp1252'>,3317,150,22.85333333333333,1.5679831172746457,50.987494945231646,11.825000783840817,14,4,10,1,1,3,10.0,gwbush,11.0
312,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_026.txt' mode='rt' encoding='cp1252'>,2271,117,20.145299145299145,1.5332452664024658,56.67497182987276,10.358960810215763,20,3,17,0,0,0,10.0,gwbush,11.0
